"team.value","capacity.value","coords.value","image.value","teamLabel.value","venueLabel.value","team_twitter.value"
"http://www.wikidata.org/entity/Q704","59186","Point(4.979825 45.764327777)","http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20Lumi%C3%A8re.jpg","Olympique Lyonnais","Parc Olympique lyonnais",NA
"http://www.wikidata.org/entity/Q2714","17477","Point(-0.401606 51.649928)","http://commons.wikimedia.org/wiki/Special:FilePath/Vicarageroad1.jpg","Watford Football Club","Vicarage Road",NA
"http://www.wikidata.org/entity/Q1900","16500","Point(9.181944 39.230833)","http://commons.wikimedia.org/wiki/Special:FilePath/Stadio%20Is%20Arenas.jpg","Cagliari Calcio","Stadio Is Arenas",NA
"http://www.wikidata.org/entity/Q29108","21504","Point(30.286389 59.951944)","http://commons.wikimedia.org/wiki/Special:FilePath/Petrovskiy%20football%20stadium%20in%20SPB.jpg","F.C. Zenit St. Petersburg","Petrovsky Stadium","zenit_spb"
"http://www.wikidata.org/entity/Q2674","36349","Point(13.342275 38.152767)","http://commons.wikimedia.org/wiki/Special:FilePath/Stadio%20Renzo%20Barbera.jpg","U.S. Città di Palermo","Stadio Renzo Barbera","palermocalcioit"
"http://www.wikidata.org/entity/Q18729","24161","Point(-0.982777777 51.422222222)","http://commons.wikimedia.org/wiki/Special:FilePath/Madejski%20Stadium%20-%20geograph.org.uk%20-%203023491.jpg","Reading F.C.","Madejski Stadium",NA
"http://www.wikidata.org/entity/Q18723","18439","Point(-0.232222222 51.509166666)","http://commons.wikimedia.org/wiki/Special:FilePath/Loftus%20Road%203.jpg","Queens Park Rangers F.C.","Loftus Road","OfficialQPR"
"http://www.wikidata.org/entity/Q18744","26445","Point(-1.963888888 52.509166666)","http://commons.wikimedia.org/wiki/Special:FilePath/West%20brom%20stadium.JPG","West Bromwich Albion F.C.","The Hawthorns",NA
"http://www.wikidata.org/entity/Q18739","49000","Point(-1.3882 54.9144)","http://commons.wikimedia.org/wiki/Special:FilePath/Stadium%20of%20light%20Haway%20the%20lads.jpg","Sunderland A.F.C.","Stadium of Light",NA
"http://www.wikidata.org/entity/Q48911","18500","Point(-3.369733 47.748256)","http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20du%20Moustoir%201.jpg","F.C. Lorient","Stade du Moustoir",NA
"http://www.wikidata.org/entity/Q1422","41800","Point(7.641247 45.109594)","http://commons.wikimedia.org/wiki/Special:FilePath/Juventus%20stadium.jpg","Juventus F.C.","Juventus Stadium","juventusfces"
"http://www.wikidata.org/entity/Q2641","76824","Point(14.193008 40.827967)","http://commons.wikimedia.org/wiki/Special:FilePath/Stadio%20San%20Paolo.jpg","Napoli","Stadio San Paolo",NA
"http://www.wikidata.org/entity/Q18656","75731","Point(-2.291388888 53.463055555)","http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Trafford%20inside%2020060726%201.jpg","Manchester United F.C.","Old Trafford","ManUtd_ES"
"http://www.wikidata.org/entity/Q18656","75731","Point(-2.291388888 53.463055555)","http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Trafford%20inside%2020060726%201.jpg","Manchester United F.C.","Old Trafford","ManUtd"
"http://www.wikidata.org/entity/Q18656","75731","Point(-2.291388888 53.463055555)","http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Traford.jpg","Manchester United F.C.","Old Trafford","ManUtd_ES"
"http://www.wikidata.org/entity/Q18656","75731","Point(-2.291388888 53.463055555)","http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Traford.jpg","Manchester United F.C.","Old Trafford","ManUtd"
