"name","country","position","date_of_birth","age","caps","goals_conceded","senior_debut_date","senior_debut_match","senior_debut_match_location","last_appearance_date","last_appearance_match","last_appearance_location","club","league","height","weight","id","team_id","detailed_position","goals"
"Hugo Lloris","France","Goalkeeper",1986-12-26,29,77,55,2008-11-19,"France 0-0 Uruguay","Saint-Denis",2016-06-15,"France 2-0 Albania","Marseille","Tottenham","ENG",188,73,"93846","43","Goalkeeper",NA
"Steve Mandanda","France","Goalkeeper",1985-03-28,31,22,25,2008-05-27,"France 2-0 Ecuador","Grenoble",2016-03-25,"Netherlands 2-3 France","Amsterdam","Marseille","FRA",185,82,"98893","43","Goalkeeper",NA
"Benoît Costil","France","Goalkeeper",1987-07-03,28,0,0,NA,NA,NA,NA,NA,NA,"Rennes","FRA",188,86,"93297","43","Goalkeeper",NA
"Christophe Jallet","France","Defender",1983-10-31,32,11,NA,2012-08-15,"France 0-0 Uruguay",NA,2016-03-25,"Netherlands 2-3 France","Amsterdam","Lyon","FRA",178,70,"1901367","43","Full-back",1
"Patrice Evra","France","Defender",1981-05-15,35,75,NA,2004-08-18,"France 1-1 Bosnia and Herzegovina","Rennes",2016-06-15,"France 2-0 Albania","Marseille","Juventus","ITA",174,74,"68468","43","Full-back",0
"Adil Rami","France","Defender",1985-12-27,30,30,NA,2010-08-11,"Norway 2-1 France","Oslo",2016-06-15,"France 2-0 Albania","Marseille","Sevilla","ESP",190,90,"1909693","43","Central defender",1
"Eliaquim Mangala","France","Defender",1991-02-13,25,7,NA,2013-06-05,"Uruguay 1-0 France",NA,2015-10-11,"Denmark 1-2 France","Copenhagen","Man. City","ENG",188,84,"250003745","43","Central defender",0
"Lucas Digne","France","Defender",1993-07-20,22,13,NA,2014-03-05,"France 2-0 Netherlands","Saint-Denis",2016-06-04,"France 3-0 Scotland","Metz","Roma","ITA",178,74,"250014002","43","Full-back",0
"Bacary Sagna","France","Defender",1983-02-14,33,59,NA,2007-08-22,"Slovakia 0-1 France","Trnava",2016-06-15,"France 2-0 Albania","Marseille","Man. City","ENG",176,72,"72795","43","Full-back",0
"Laurent Koscielny","France","Defender",1985-09-10,30,31,NA,2011-11-11,"France 1-0 USA","Saint-Denis",2016-06-15,"France 2-0 Albania","Marseille","Arsenal","ENG",186,75,"250018623","43","Central defender",1
