"jersey_no","name","tm_id","tm_position","tm_team_id","tm_team","tm_foot","tm_value","tm_height","tm_debut","country"
"13","David de Gea","59377","Keeper","985","Manchester United","right","40,00 Mill. €  ","1,89 m","Jun 8, 2014","Spain"
"23","Sergio Rico","207302","Keeper","368","Sevilla FC","right","15,00 Mill. €  ","1,94 m","Jun 1, 2016","Spain"
"1","Iker Casillas","3979","Keeper","720","FC Porto","left","3,00 Mill. €  ","1,82 m","Jun 3, 2000","Spain"
"3","Gerard Piqué","18944","Centre Back","131","FC Barcelona","right","40,00 Mill. €  ","1,93 m","Feb 11, 2009","Spain"
"15","Sergio Ramos","25557","Centre Back","418","Real Madrid","right","40,00 Mill. €  ","1,83 m","Mar 26, 2005","Spain"
"4","Marc Bartra","99922","Centre Back","131","FC Barcelona","right","8,00 Mill. €  ","1,83 m","Nov 16, 2013","Spain"
"18","Jordi Alba","69751","Left-Back","131","FC Barcelona","left","35,00 Mill. €  ","1,70 m","Oct 11, 2011","Spain"
"2","César Azpilicueta","57500","Right-Back","631","Chelsea FC","right","20,00 Mill. €  ","1,78 m","Feb 6, 2013","Spain"
"12","Héctor Bellerín","191217","Right-Back","11","Arsenal FC","right","18,00 Mill. €  ","1,78 m","May 29, 2016","Spain"
"16","Juanfran","16635","Right-Back","13","Atlético Madrid","right","16,00 Mill. €  ","1,81 m","May 26, 2012","Spain"
"5","Sergio Busquets","65230","Defensive Midfield","131","FC Barcelona","right","60,00 Mill. €  ","1,89 m","Apr 1, 2009","Spain"
"17","Mikel San José","52469","Defensive Midfield","621","Athletic Bilbao","right","10,00 Mill. €  ","1,86 m","Sep 4, 2014","Spain"
"19","Bruno Soriano","44412","Defensive Midfield","1050","Villarreal CF","left","8,00 Mill. €  ","1,84 m","Aug 11, 2010","Spain"
"10","Cesc Fàbregas","8806","Central Midfield","631","Chelsea FC","right","45,00 Mill. €  ","1,75 m","Mar 1, 2006","Spain"
"6","Andrés Iniesta","7600","Central Midfield","131","FC Barcelona","right","35,00 Mill. €  ","1,71 m","May 27, 2006","Spain"
"14","Thiago","60444","Central Midfield","27","Bayern Munich","right","25,00 Mill. €  ","1,74 m","Aug 10, 2011","Spain"
"21","David Silva","35518","Attacking Midfield","281","Manchester City","left","33,00 Mill. €  ","1,70 m","Nov 15, 2006","Spain"
"8","Koke","74229","Left Wing","13","Atlético Madrid","right","60,00 Mill. €  ","1,76 m","Aug 14, 2013","Spain"
"11","Pedro","65278","Right Wing","631","Chelsea FC","both","23,00 Mill. €  ","1,67 m","May 29, 2010","Spain"
"22","Nolito","70934","Left Wing","940","Celta de Vigo","right","15,00 Mill. €  ","1,75 m","Nov 18, 2014","Spain"
"9","Lucas Vázquez","221316","Right Wing","418","Real Madrid","right","10,00 Mill. €  ","1,73 m","Jun 7, 2016","Spain"
"7","Álvaro Morata","128223","Centre Forward","506","Juventus FC","both","30,00 Mill. €  ","1,89 m","Nov 15, 2014","Spain"
