"jersey_no","name","tm_id","tm_position","date_of_birth","age","tm_team_id","tm_team","foot","tm_value","tm_currency","height","debut","country"
"13","David de Gea","59377","Keeper",1990-11-07,25,"985","Manchester United","right",40000000,"€  ",189,2014-06-08,"Spain"
"23","Sergio Rico","207302","Keeper",1993-09-01,22,"368","Sevilla FC","right",15000000,"€  ",194,2016-06-01,"Spain"
"1","Iker Casillas","3979","Keeper",1981-05-20,35,"720","FC Porto","left",3000000,"€  ",182,2000-06-03,"Spain"
"3","Gerard Piqué","18944","Centre Back",1987-02-02,29,"131","FC Barcelona","right",40000000,"€  ",193,2009-02-11,"Spain"
"15","Sergio Ramos","25557","Centre Back",1986-03-30,30,"418","Real Madrid","right",40000000,"€  ",183,2005-03-26,"Spain"
"4","Marc Bartra","99922","Centre Back",1991-01-15,25,"131","FC Barcelona","right",8000000,"€  ",183,2013-11-16,"Spain"
"18","Jordi Alba","69751","Left-Back",1989-03-21,27,"131","FC Barcelona","left",35000000,"€  ",170,2011-10-11,"Spain"
"2","César Azpilicueta","57500","Right-Back",1989-08-28,26,"631","Chelsea FC","right",20000000,"€  ",178,2013-02-06,"Spain"
"12","Héctor Bellerín","191217","Right-Back",1995-03-19,21,"11","Arsenal FC","right",18000000,"€  ",178,2016-05-29,"Spain"
"16","Juanfran","16635","Right-Back",1985-01-09,31,"13","Atlético Madrid","right",16000000,"€  ",181,2012-05-26,"Spain"
"5","Sergio Busquets","65230","Defensive Midfield",1988-07-16,27,"131","FC Barcelona","right",60000000,"€  ",189,2009-04-01,"Spain"
"17","Mikel San José","52469","Defensive Midfield",1989-05-30,27,"621","Athletic Bilbao","right",10000000,"€  ",186,2014-09-04,"Spain"
"19","Bruno Soriano","44412","Defensive Midfield",1984-06-12,32,"1050","Villarreal CF","left",8000000,"€  ",184,2010-08-11,"Spain"
"10","Cesc Fàbregas","8806","Central Midfield",1987-05-04,29,"631","Chelsea FC","right",45000000,"€  ",175,2006-03-01,"Spain"
"6","Andrés Iniesta","7600","Central Midfield",1984-05-11,32,"131","FC Barcelona","right",35000000,"€  ",171,2006-05-27,"Spain"
"14","Thiago","60444","Central Midfield",1991-04-11,25,"27","Bayern Munich","right",25000000,"€  ",174,2011-08-10,"Spain"
"21","David Silva","35518","Attacking Midfield",1986-01-08,30,"281","Manchester City","left",33000000,"€  ",170,2006-11-15,"Spain"
"8","Koke","74229","Left Wing",1992-01-08,24,"13","Atlético Madrid","right",60000000,"€  ",176,2013-08-14,"Spain"
"11","Pedro","65278","Right Wing",1987-07-28,28,"631","Chelsea FC","both",23000000,"€  ",167,2010-05-29,"Spain"
"22","Nolito","70934","Left Wing",1986-10-15,29,"940","Celta de Vigo","right",15000000,"€  ",175,2014-11-18,"Spain"
"9","Lucas Vázquez","221316","Right Wing",1991-07-01,24,"418","Real Madrid","right",10000000,"€  ",173,2016-06-07,"Spain"
"7","Álvaro Morata","128223","Centre Forward",1992-10-23,23,"506","Juventus FC","both",30000000,"€  ",189,2014-11-15,"Spain"
"20","Aritz Aduriz","29124","Centre Forward",1981-02-11,35,"621","Athletic Bilbao","right",3000000,"€  ",182,2010-10-08,"Spain"
"1","Manuel Neuer","17259","Keeper",1986-03-27,30,"27","Bayern Munich","right",45000000,"€  ",193,2009-06-02,"Germany"
"12","Bernd Leno","72476","Keeper",1992-03-04,24,"15","Bayer 04 Leverkusen","right",16000000,"€  ",190,2016-05-29,"Germany"
"22","Marc-André ter Stegen","74857","Keeper",1992-04-30,24,"131","FC Barcelona","right",15000000,"€  ",187,2012-05-26,"Germany"
"17","Jérôme Boateng","26485","Centre Back",1988-09-03,27,"27","Bayern Munich","right",40000000,"€  ",192,2009-10-10,"Germany"
"5","Mats Hummels","39728","Centre Back",1988-12-16,27,"16","Borussia Dortmund","right",38000000,"€  ",192,2010-05-13,"Germany"
"2","Shkodran Mustafi","88590","Centre Back",1992-04-17,24,"1049","Valencia CF","right",20000000,"€  ",184,2014-05-13,"Germany"
"4","Benedikt Höwedes","39020","Centre Back",1988-02-29,28,"33","FC Schalke 04","right",16000000,"€  ",187,2011-05-29,"Germany"
"16","Jonathan Tah","196357","Centre Back",1996-02-11,20,"15","Bayer 04 Leverkusen","right",12000000,"€  ",194,2016-03-26,"Germany"
"3","Jonas Hector","108537","Left-Back",1990-05-27,26,"3","1. FC Köln","left",11000000,"€  ",185,2014-11-14,"Germany"
"14","Emre Can","119296","Defensive Midfield",1994-01-12,22,"31","Liverpool FC","right",18000000,"€  ",184,2015-09-04,"Germany"
"15","Julian Weigl","196792","Defensive Midfield",1995-09-08,20,"16","Borussia Dortmund","right",14000000,"€  ",187,2016-05-29,"Germany"
"21","Joshua Kimmich","161056","Defensive Midfield",1995-02-08,21,"27","Bayern Munich","right",13000000,"€  ",176,2016-05-29,"Germany"
"18","Toni Kroos","31909","Central Midfield",1990-01-04,26,"418","Real Madrid","both",50000000,"€  ",182,2010-03-03,"Germany"
"6","Sami Khedira","29401","Central Midfield",1987-04-04,29,"506","Juventus FC","right",20000000,"€  ",189,2009-09-05,"Germany"
"7","Bastian Schweinsteiger","2514","Central Midfield",1984-08-01,31,"985","Manchester United","right",12000000,"€  ",183,2004-06-06,"Germany"
