"club_wikidata_id","team.value","capacity.value","longitude","latitude","image.value","teamLabel.value","venueLabel.value","team_twitter.value","number_of_players","popup_content"
"Q101859","http://www.wikidata.org/entity/Q101859","30000",10.803889,52.431944,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Wolfsburg%20stadion.jpg' width='300' />","VfL Wolfsburg","Volkswagen Arena","unknown",4,"<h5>VfL Wolfsburg</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Wolfsburg%20stadion.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>4</td></tr><tr><td><b>Stadium:</b></td><td>Volkswagen Arena</td></tr><tr><td><b>Capacity:</b></td><td>30000</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q101959","http://www.wikidata.org/entity/Q101959","54057",6.385463888,51.174583333,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Borussia%20Park%20M%C3%B6nchengladbach.jpg' width='300' />","Borussia Mönchengladbach","Borussia-Park","unknown",4,"<h5>Borussia Mönchengladbach</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Borussia%20Park%20M%C3%B6nchengladbach.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>4</td></tr><tr><td><b>Stadium:</b></td><td>Borussia-Park</td></tr><tr><td><b>Capacity:</b></td><td>54057</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q102720","http://www.wikidata.org/entity/Q102720","74064",13.239444444,52.514722222,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Berlin%20Olympiastadion%20nach%20Umbau.jpg' width='300' />","Hertha BSC","Olympiastadion Berlin","<a href='https://twitter.com/HerthaBSC' target='_blank'>@HerthaBSC</a>",2,"<h5>Hertha BSC</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Berlin%20Olympiastadion%20nach%20Umbau.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>2</td></tr><tr><td><b>Stadium:</b></td><td>Olympiastadion Berlin</td></tr><tr><td><b>Capacity:</b></td><td>74064</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/HerthaBSC' target='_blank'>@HerthaBSC</a></td></tr></table>"
"Q10300","http://www.wikidata.org/entity/Q10300","14708",-3.658961,40.391944,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Estadio%20de%20Vallecas.jpg' width='300' />","Rayo Vallecano","Campo de Fútbol de Vallecas","unknown",1,"<h5>Rayo Vallecano</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Estadio%20de%20Vallecas.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Campo de Fútbol de Vallecas</td></tr><tr><td><b>Capacity:</b></td><td>14708</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q10333","http://www.wikidata.org/entity/Q10333","53000",-0.358333,39.474722,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Mestalla1.jpg' width='300' />","Valencia CF","Mestalla Stadium","<a href='https://twitter.com/valenciacf' target='_blank'>@valenciacf</a>",2,"<h5>Valencia CF</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Mestalla1.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>2</td></tr><tr><td><b>Stadium:</b></td><td>Mestalla Stadium</td></tr><tr><td><b>Capacity:</b></td><td>53000</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/valenciacf' target='_blank'>@valenciacf</a></td></tr></table>"
"Q104761","http://www.wikidata.org/entity/Q104761","30210",7.002205555,51.038255555,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/BayArena%20neu%202009.jpg' width='300' />","Bayer 04 Leverkusen","BayArena","<a href='https://twitter.com/bayer04fussball' target='_blank'>@bayer04fussball</a>",5,"<h5>Bayer 04 Leverkusen</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/BayArena%20neu%202009.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>5</td></tr><tr><td><b>Stadium:</b></td><td>BayArena</td></tr><tr><td><b>Capacity:</b></td><td>30210</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/bayer04fussball' target='_blank'>@bayer04fussball</a></td></tr></table>"
"Q104770","http://www.wikidata.org/entity/Q104770","50000",6.875,50.933611,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/RheinEnergieStadion%20K%C3%B6ln%20002.jpg' width='300' />","1. FC Köln","RheinEnergie Stadion","unknown",3,"<h5>1. FC Köln</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/RheinEnergieStadion%20K%C3%B6ln%20002.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>3</td></tr><tr><td><b>Stadium:</b></td><td>RheinEnergie Stadion</td></tr><tr><td><b>Capacity:</b></td><td>50000</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q10499","http://www.wikidata.org/entity/Q10499","21822",-4.764642,37.872294,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Octubre%20de%202007026.jpg' width='300' />","Córdoba CF","Estadio Nuevo Arcángel","<a href='https://twitter.com/cordobacfsad' target='_blank'>@cordobacfsad</a>",1,"<h5>Córdoba CF</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Octubre%20de%202007026.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Estadio Nuevo Arcángel</td></tr><tr><td><b>Capacity:</b></td><td>21822</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/cordobacfsad' target='_blank'>@cordobacfsad</a></td></tr></table>"
"Q105254","http://www.wikidata.org/entity/Q105254","34034",8.224167,49.984167,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Er%C3%B6ffnungsfeier%20Coface%20Arena.JPG' width='300' />","1. FSV Mainz 05","Coface Arena","unknown",3,"<h5>1. FSV Mainz 05</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Er%C3%B6ffnungsfeier%20Coface%20Arena.JPG' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>3</td></tr><tr><td><b>Stadium:</b></td><td>Coface Arena</td></tr><tr><td><b>Capacity:</b></td><td>34034</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q106394","http://www.wikidata.org/entity/Q106394","24000",7.893056,47.988889,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Badenova-Stadion%202011.jpg' width='300' />","SC Freiburg","Mage Solar Stadion","unknown",1,"<h5>SC Freiburg</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Badenova-Stadion%202011.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Mage Solar Stadion</td></tr><tr><td><b>Capacity:</b></td><td>24000</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
