"0#0","Pos.","Player","Date of birth (age)","Caps","Goals","Club","player_url","name","club_name","club_name_detailed","club_url","country","wikidata_item"
1,"1GK","Lloris, HugoHugo Lloris (captain)","(1986-12-26)26 December 1986 (aged 29)",75,0,"Tottenham Hotspur","https://en.wikipedia.org/wiki/Hugo_Lloris","Hugo Lloris","Tottenham Hotspur","Tottenham Hotspur F.C.","https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.","France","https://www.wikidata.org/wiki/Q1907"
2,"2DF","Jallet, ChristopheChristophe Jallet","(1983-10-31)31 October 1983 (aged 32)",11,1,"Lyon","https://en.wikipedia.org/wiki/Christophe_Jallet","Christophe Jallet","Lyon","Olympique Lyonnais","https://en.wikipedia.org/wiki/Olympique_Lyonnais","France","https://www.wikidata.org/wiki/Q442457"
3,"2DF","Evra, PatricePatrice Evra","(1981-05-15)15 May 1981 (aged 35)",73,0,"Juventus","https://en.wikipedia.org/wiki/Patrice_Evra","Patrice Evra","Juventus","Juventus F.C.","https://en.wikipedia.org/wiki/Juventus_F.C.","France","https://www.wikidata.org/wiki/Q1916"
4,"2DF","Rami, AdilAdil Rami","(1985-12-27)27 December 1985 (aged 30)",28,1,"Sevilla","https://en.wikipedia.org/wiki/Adil_Rami","Adil Rami","Sevilla","Sevilla FC","https://en.wikipedia.org/wiki/Sevilla_FC","France","https://www.wikidata.org/wiki/Q1909"
5,"3MF","Kanté, N'GoloN'Golo Kanté","(1991-03-29)29 March 1991 (aged 25)",4,1,"Leicester City","https://en.wikipedia.org/wiki/N'Golo_Kant%C3%A9","N'Golo Kanté","Leicester City","Leicester City F.C.","https://en.wikipedia.org/wiki/Leicester_City_F.C.","France","https://www.wikidata.org/wiki/Q16665941"
6,"3MF","Cabaye, YohanYohan Cabaye","(1986-01-14)14 January 1986 (aged 30)",46,4,"Crystal Palace","https://en.wikipedia.org/wiki/Yohan_Cabaye","Yohan Cabaye","Crystal Palace","Crystal Palace F.C.","https://en.wikipedia.org/wiki/Crystal_Palace_F.C.","France","https://www.wikidata.org/wiki/Q1910"
7,"4FW","Griezmann, AntoineAntoine Griezmann","(1991-03-21)21 March 1991 (aged 25)",27,7,"Atlético Madrid","https://en.wikipedia.org/wiki/Antoine_Griezmann","Antoine Griezmann","Atlético Madrid","Atlético Madrid","https://en.wikipedia.org/wiki/Atl%C3%A9tico_Madrid","France","https://www.wikidata.org/wiki/Q455462"
8,"3MF","Payet, DimitriDimitri Payet","(1987-03-29)29 March 1987 (aged 29)",19,3,"West Ham United","https://en.wikipedia.org/wiki/Dimitri_Payet","Dimitri Payet","West Ham United","West Ham United F.C.","https://en.wikipedia.org/wiki/West_Ham_United_F.C.","France","https://www.wikidata.org/wiki/Q376247"
9,"4FW","Giroud, OlivierOlivier Giroud","(1986-09-30)30 September 1986 (aged 29)",49,17,"Arsenal","https://en.wikipedia.org/wiki/Olivier_Giroud","Olivier Giroud","Arsenal","Arsenal F.C.","https://en.wikipedia.org/wiki/Arsenal_F.C.","France","https://www.wikidata.org/wiki/Q1911"
10,"4FW","Gignac, André-PierreAndré-Pierre Gignac","(1985-12-05)5 December 1985 (aged 30)",27,7,"UANL","https://en.wikipedia.org/wiki/Andr%C3%A9-Pierre_Gignac","André-Pierre Gignac","UANL","Tigres UANL","https://en.wikipedia.org/wiki/Tigres_UANL","France","https://www.wikidata.org/wiki/Q1940"
