"position","date_of_birth","caps","goals","club","player_url","name","club_name_detailed","club_url","country","wikidata_item","position_id","club_wikidata_item","club_wikidata_id"
"Goalkeeper","1986-12-26",75,0,"Tottenham Hotspur","https://en.wikipedia.org/wiki/Hugo_Lloris","Hugo Lloris","Tottenham Hotspur F.C.","https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.","France","https://www.wikidata.org/wiki/Q1907",1,"https://www.wikidata.org/wiki/Q18741","Q18741"
"Defender","1983-10-31",11,1,"Lyon","https://en.wikipedia.org/wiki/Christophe_Jallet","Christophe Jallet","Olympique Lyonnais","https://en.wikipedia.org/wiki/Olympique_Lyonnais","France","https://www.wikidata.org/wiki/Q442457",2,"https://www.wikidata.org/wiki/Q704","Q704"
"Defender","1981-05-15",73,0,"Juventus","https://en.wikipedia.org/wiki/Patrice_Evra","Patrice Evra","Juventus F.C.","https://en.wikipedia.org/wiki/Juventus_F.C.","France","https://www.wikidata.org/wiki/Q1916",2,"https://www.wikidata.org/wiki/Q1422","Q1422"
"Defender","1985-12-27",28,1,"Sevilla","https://en.wikipedia.org/wiki/Adil_Rami","Adil Rami","Sevilla FC","https://en.wikipedia.org/wiki/Sevilla_FC","France","https://www.wikidata.org/wiki/Q1909",2,"https://www.wikidata.org/wiki/Q10329","Q10329"
"Midfield","1991-03-29",4,1,"Leicester City","https://en.wikipedia.org/wiki/N'Golo_Kant%C3%A9","N'Golo Kanté","Leicester City F.C.","https://en.wikipedia.org/wiki/Leicester_City_F.C.","France","https://www.wikidata.org/wiki/Q16665941",3,"https://www.wikidata.org/wiki/Q19481","Q19481"
"Midfield","1986-01-14",46,4,"Crystal Palace","https://en.wikipedia.org/wiki/Yohan_Cabaye","Yohan Cabaye","Crystal Palace F.C.","https://en.wikipedia.org/wiki/Crystal_Palace_F.C.","France","https://www.wikidata.org/wiki/Q1910",3,"https://www.wikidata.org/wiki/Q19467","Q19467"
"Forward","1991-03-21",27,7,"Atlético Madrid","https://en.wikipedia.org/wiki/Antoine_Griezmann","Antoine Griezmann","Atlético Madrid","https://en.wikipedia.org/wiki/Atl%C3%A9tico_Madrid","France","https://www.wikidata.org/wiki/Q455462",4,"https://www.wikidata.org/wiki/Q8701","Q8701"
"Midfield","1987-03-29",19,3,"West Ham United","https://en.wikipedia.org/wiki/Dimitri_Payet","Dimitri Payet","West Ham United F.C.","https://en.wikipedia.org/wiki/West_Ham_United_F.C.","France","https://www.wikidata.org/wiki/Q376247",3,"https://www.wikidata.org/wiki/Q18747","Q18747"
"Forward","1986-09-30",49,17,"Arsenal","https://en.wikipedia.org/wiki/Olivier_Giroud","Olivier Giroud","Arsenal F.C.","https://en.wikipedia.org/wiki/Arsenal_F.C.","France","https://www.wikidata.org/wiki/Q1911",4,"https://www.wikidata.org/wiki/Q9617","Q9617"
"Forward","1985-12-05",27,7,"UANL","https://en.wikipedia.org/wiki/Andr%C3%A9-Pierre_Gignac","André-Pierre Gignac","Tigres UANL","https://en.wikipedia.org/wiki/Tigres_UANL","France","https://www.wikidata.org/wiki/Q1940",4,"https://www.wikidata.org/wiki/Q849823","Q849823"
"Forward","1995-12-05",9,0,"Manchester United","https://en.wikipedia.org/wiki/Anthony_Martial","Anthony Martial","Manchester United F.C.","https://en.wikipedia.org/wiki/Manchester_United_F.C.","France","https://www.wikidata.org/wiki/Q2091463",4,"https://www.wikidata.org/wiki/Q18656","Q18656"
"Midfield","1989-11-08",15,0,"Manchester United","https://en.wikipedia.org/wiki/Morgan_Schneiderlin","Morgan Schneiderlin","Manchester United F.C.","https://en.wikipedia.org/wiki/Manchester_United_F.C.","France","https://www.wikidata.org/wiki/Q1361462",3,"https://www.wikidata.org/wiki/Q18656","Q18656"
"Defender","1991-02-13",7,0,"Manchester City","https://en.wikipedia.org/wiki/Eliaquim_Mangala","Eliaquim Mangala","Manchester City F.C.","https://en.wikipedia.org/wiki/Manchester_City_F.C.","France","https://www.wikidata.org/wiki/Q579231",2,"https://www.wikidata.org/wiki/Q50602","Q50602"
"Midfield","1987-04-09",44,8,"Paris Saint-Germain","https://en.wikipedia.org/wiki/Blaise_Matuidi","Blaise Matuidi","Paris Saint-Germain F.C.","https://en.wikipedia.org/wiki/Paris_Saint-Germain_F.C.","France","https://www.wikidata.org/wiki/Q1921",3,"https://www.wikidata.org/wiki/Q483020","Q483020"
"Midfield","1993-03-15",31,5,"Juventus","https://en.wikipedia.org/wiki/Paul_Pogba","Paul Pogba","Juventus F.C.","https://en.wikipedia.org/wiki/Juventus_F.C.","France","https://www.wikidata.org/wiki/Q129027",3,"https://www.wikidata.org/wiki/Q1422","Q1422"
"Goalkeeper","1985-03-28",22,0,"Marseille","https://en.wikipedia.org/wiki/Steve_Mandanda","Steve Mandanda","Olympique de Marseille","https://en.wikipedia.org/wiki/Olympique_de_Marseille","France","https://www.wikidata.org/wiki/Q1924",1,"https://www.wikidata.org/wiki/Q132885","Q132885"
"Defender","1993-07-20",13,0,"Roma","https://en.wikipedia.org/wiki/Lucas_Digne","Lucas Digne","A.S. Roma","https://en.wikipedia.org/wiki/A.S._Roma","France","https://www.wikidata.org/wiki/Q72648",2,"https://www.wikidata.org/wiki/Q2739","Q2739"
"Midfield","1989-08-16",38,1,"Newcastle United","https://en.wikipedia.org/wiki/Moussa_Sissoko","Moussa Sissoko","Newcastle United F.C.","https://en.wikipedia.org/wiki/Newcastle_United_F.C.","France","https://www.wikidata.org/wiki/Q60545",3,"https://www.wikidata.org/wiki/Q18716","Q18716"
"Defender","1983-02-14",57,0,"Manchester City","https://en.wikipedia.org/wiki/Bacary_Sagna","Bacary Sagna","Manchester City F.C.","https://en.wikipedia.org/wiki/Manchester_City_F.C.","France","https://www.wikidata.org/wiki/Q1938",2,"https://www.wikidata.org/wiki/Q50602","Q50602"
"Forward","1996-06-13",5,1,"Bayern Munich","https://en.wikipedia.org/wiki/Kingsley_Coman","Kingsley Coman","FC Bayern Munich","https://en.wikipedia.org/wiki/FC_Bayern_Munich","France","https://www.wikidata.org/wiki/Q6413296",4,"https://www.wikidata.org/wiki/Q15789","Q15789"
"Defender","1985-09-10",29,1,"Arsenal","https://en.wikipedia.org/wiki/Laurent_Koscielny","Laurent Koscielny","Arsenal F.C.","https://en.wikipedia.org/wiki/Arsenal_F.C.","France","https://www.wikidata.org/wiki/Q1915",2,"https://www.wikidata.org/wiki/Q9617","Q9617"
"Defender","1993-11-14",0,0,"Lyon","https://en.wikipedia.org/wiki/Samuel_Umtiti","Samuel Umtiti","Olympique Lyonnais","https://en.wikipedia.org/wiki/Olympique_Lyonnais","France","https://www.wikidata.org/wiki/Q13308",2,"https://www.wikidata.org/wiki/Q704","Q704"
"Goalkeeper","1987-07-03",0,0,"Rennes","https://en.wikipedia.org/wiki/Beno%C3%AEt_Costil","Benoît Costil","Stade Rennais F.C.","https://en.wikipedia.org/wiki/Stade_Rennais_F.C.","France","https://www.wikidata.org/wiki/Q818111",1,"https://www.wikidata.org/wiki/Q19509","Q19509"
"Goalkeeper","1987-02-01",22,0,"Watford","https://en.wikipedia.org/wiki/Costel_Pantilimon","Costel Pantilimon","Watford F.C.","https://en.wikipedia.org/wiki/Watford_F.C.","Romania","https://www.wikidata.org/wiki/Q439309",1,"https://www.wikidata.org/wiki/Q2714","Q2714"
